chr,geneStart,geneEnd,geneSymbol,citations,strand,transcriptName,geneId,geneType,geneName
chr19,58858171,58864865,A1BG,32,-,union_1,1,protein-coding,alpha-1-B glycoprotein
chr8,18248754,18258723,NAT2,655,+,union_10,10,protein-coding,N-acetyltransferase 2
chr20,43248159,43280399,ADA,223,-,union_100,100,protein-coding,adenosine deaminase
chr18,25530926,25757410,CDH2,288,-,union_1000,1000,protein-coding,cadherin 2
chr1,243651534,244006886,AKT3,175,-,union_10000,10000,protein-coding,AKT serine/threonine kinase 3
chrX,49296745,49304144,GAGE12F,1,+,union_100008586,100008586,protein-coding,G antigen 12F
chrX,49306301,49313700,GAGE12F,1,+,union_100008586,100008586,protein-coding,G antigen 12F
chrX,49315857,49323252,GAGE12F,1,+,union_100008586,100008586,protein-coding,G antigen 12F
chrX,49325410,49332811,GAGE12F,1,+,union_100008586,100008586,protein-coding,G antigen 12F
chrX,49334968,49342360,GAGE12F,1,+,union_100008586,100008586,protein-coding,G antigen 12F
chr10,69769703,69770640,POU5F1P5,4,-,union_100009667,100009667,pseudo,POU class 5 homeobox 1 pseudogene 5
chr3,101395273,101398057,ZBTB11-AS1,4,+,union_100009676,100009676,ncRNA,ZBTB11 antisense RNA 1
chr14,71049937,71067407,MED6,54,-,union_10001,10001,protein-coding,mediator complex subunit 6
chr15,72102887,72110597,NR2E3,52,+,union_10002,10002,protein-coding,nuclear receptor subfamily 2 group E member 3
chr11,89867817,89925779,NAALAD2,12,+,union_10003,10003,protein-coding,N-acetylated alpha-linked acidic dipeptidase 2
chr16,75727790,75735357,DUXB,4,-,union_100033411,100033411,protein-coding,double homeobox B
chr15,25296622,25296719,SNORD116-1,7,+,union_100033413,100033413,snoRNA,"small nucleolar RNA, C/D box 116-1"
chr15,25299355,25299452,SNORD116-2,3,+,union_100033414,100033414,snoRNA,"small nucleolar RNA, C/D box 116-2"
chr15,25310171,25310269,SNORD116-2,3,+,union_100033414,100033414,snoRNA,"small nucleolar RNA, C/D box 116-2"
chr15,25302005,25302102,SNORD116-3,3,+,union_100033415,100033415,snoRNA,"small nucleolar RNA, C/D box 116-3"
